source,texte
arduino automation chef1,Aide pour automatiser (programmer) une coupeuse de fil de fer fabrication maison
arduino automation chef1,"Bonjour à tous,Je cherche une aide en programmation sur Arduino méga,dans le département du Gard où de l'Hérault idéalement, afin de finaliser un asservissement sur une machine que j'ai réalisée pour m'aider dans ma petite activité artisanale.Je suis pas du tout à l'aise avec le langage C++ et la programmation tout court.Pour quelqu'un qui maitrise la programmation, je pense que mon projet est pas très sorcier, mais surement nécessite de faire des crach test en live d'où l'idéal de trouver pas trop loin de chez moi.j'ai juste besoin de faire fonctionner cette machine et non de devenir programmeur.J'ai commencé un début de code avec un ami mais ça marche pas malgré beaucoup de temps passé, donc on sollicite l'aide d'une bonne âme !merci d'avance à qui repondra....à mon S.O.S..CDLT..."
arduino automation chef1,"Comme tu ne cherches pas d'aide pour t'aider à programmer ou debugger, le mieux serait que tu poste dans la section de proposition d'emplois."
arduino automation chef1,"Si vous ne trouvez pas, postez plus d’infos ici sur la machine et le besoin,  et éventuellement votre code (avec les balises) et dessin du circuit ça aidera à qualifier la complexité du code nécessaire"
arduino automation chef1,"Ma machine sert à recycler du fil de fer.pour faire simple, je recupere des bobines de fil de fer de vignes arrachées et ma machine nettoie, redresse et coupe en baguette de longueur entre 30 et 99cm de long à la demande.L'asservissement, consiste en un pupitre de programmation ou je paramètre mes valeurs de coupe souhaitées, puis la machine entraine le fil au signal d'une commande par pédale switch on/off, arrête l'entrainement lorsque la longueur est atteinte et déclenche alors la coupe de la baguette, puis repart et ainsi de suite...Les composants machine sont,entraineur moteur 24vcc à balais.cisaille pneumatique commandée par un distributeur 24vcc également."
arduino automation chef1,"La partie asservissement, Arduino Méga,1 pupitre de commande comprenant,"
arduino automation chef1,"1 switch permanent 2 positions, pour la mise sous tension et l'arrêt de l'asservissement.1 switch permanent 2 positions, selectionneur de mode ( prog, marche auto, marche forcée)1 switch poussoir / rotatif infini, pour entrer les valeurs de coupe3 afficheurs numeriques à 2 chiffres couplés en parallelle, ( je ne veux pas forcement toujour couper des baguettes de longueurs identique, mais plutot des serie de coupe sequentielles. le premier afficheur selectionne la coupe de longeur minimale de 20à99, le second afficheur selectionne la frquence de coupe de 1à10, le troisieme afficheur selectionne la longueur max de 20à99).Ce qui donne si je fait la selection 30/4/42 que la machine coupera à 30, 34, 38, 42 puis reviendra à 30, 34...etc et realisera des boucles infini à ces valeurs.1 switch poussoir, servant de ""reset""1 afficheur numerique à 4 chiffres, compteur de coupe."
arduino automation chef1,"coté entrée capteur,une fourche optique mesure la course de l'entraineur de fille switch pédale de commandeun fin de course pour l'état d'ouverture de la pince coupante"
arduino automation chef1,"en sortie,relais commandant l'ouverture et fermeture de la pince coupante et entraineur."
arduino automation chef1,"voilà, grosso modo, la description de la bête.."
arduino automation chef1,Bonjour ducoinlucien
arduino automation chef1,une fourche optique mesure la course de l'entraineur de fil
arduino automation chef1,"S'il n'y a qu'une fourche, cela veut dire que la roue qui entraîne le fil a une série de trous qui permet de mesurer la quantité de fil déroulé ?"
arduino automation chef1,Cordialementjpbbricole
arduino automation chef1,"Quelles sont les sécurités prévues ?La machine a-t-elle besoin d'un agrément ""Ministère du Travail"" ?"
arduino automation chef1,"Le cas sera différent si tu es le seul à manœuvrer la machine que tu as conçue pour ton usage personnel, de celui où elle sera manœuvrée par un salarié ou simplement un ami."
arduino automation chef1,Sympa la bête
arduino automation chef1,Où rencontrez vous des soucis de programmation?
arduino automation chef1,"à jpbbricole, oui j'ai une roue avec des entailles, taillée dans un disque alu de disque dur SATA.85 entailles au total car la course de mon entraineur développe par tour 85mm"
arduino automation chef1,"à 68tjs, non, pas d'agrément de sécurité, c'est vraiment pour une activité artisanale perso et les risques sont plus dans les réactions de ressort des rouleaux de fil de fer aciérés qui peuvent vite t'éborgner quand tu déroule que la machine elle même.Elle s'utilise en marche forcée pour engager le fil et après on s'occupe juste du bon déroulement de la bobine en gérant l'avalement du fil avec la pédale switch en mode auto."
arduino automation chef1,"à J-M-L, oui la bête est pas piquée des hannetons comme on dit, entièrement moulée sur la cuisse, fabriquée avec pas mal de récup, moteur de machine à laver, réserve d'air avec bouteille de gaz fibre, carcasse avec une vielle armoire électrique, etc..toute la partie mécanique est assez fiable malgré l'apparence grosse bidouille.Là où je rencontre un soucis avec la programmation c'est que je n'y connais vraiment rien, mon ami lui bien plus que moi, c'était son boulot en programmation ordi de bord sur véhicule chez PSA mais en pleine reconversion professionnelle il doit s'occuper de ces affaires qui sont pas simples et plus trop le temps pour des récréations.il m'a fait un script prévus sur Arduino uno, mais comme on était à court de port d'entrée il avait trouvé sur des forums je pense la possibilité de passer par un serial.de plus on avait des composant de fonction genre capteur de pression de cuve, dont on les avait foutu à gérer par le script alors que c'était pas utile, rendant le script plus complexe et bouffant des entrées.Depuis je suis passé sur Arduino méga, donc plus de soucis de port, j'en ai de reste et tous les capteurs fonctionnel je les ai tous branchés en logique câblée, en série donc boucle fermée la machine avance, boucle ouverte la machine bouge pas et là un contrôle visuel permet de tout de suite voir ce qui ne va pas.Donc tout est simplifié au max avec tout de même des fonctions sympa.Mais même simple, pour moi c'est très compliqué, j'ai l'impression de devoir apprendre à parler un japonais couramment pour les besoins d'une semaine de vacance...c'est pas que c'est pas sympa le japonais, mais…Alors je me retrouve en possession d'un script en cours de modif dont je comprends 4% de son contenu, dont je pense que il y a surement pas mal de chose à conserver, mais… là je suis en mode Champollion avec la perspective d'une somme de travail à abattre colossale alors que un initié y passera peut être juste quelques heures!peut être je me trompe mais ...vraiment j'en sais rien, quand je lis des post sur ce Forum, j'ai quand même l'impression que y'a du level et que mon projet c'est pas la NASA tout de même.je vous poste le sketch là où il en est .."
