source,texte
arduino automation,Arduino Pro Micro and Bluetooth based Home Automation
arduino automation,Table of Contents
arduino automation,Arduino Pro Micro and Bluetooth:
arduino automation,"Arduino Pro Micro and Bluetooth based Home Automation-It has been six months since I designed theArduino Pro Micro, and during this time, I have extensively explored its capabilities by interfacing it with various sensors and breakout boards. I’ve had the pleasure of working with a range of modules, including thePN532 NFC RFID module, theMLX90614 non-contact infrared temperature sensor, and theR557 Capacitive Fingerprint module."
arduino automation,"So far, this journey has been quite rewarding, and I am generally satisfied with the experiments and tests I’ve conducted. However, before considering the Arduino Pro Micro for integration into real-world products, I feel it’s essential to subject it to further testing with additional modules."
arduino automation,"The Arduino Pro Micro has proven to be a versatile and reliable platform, but thorough testing with a variety of modules will help ensure its compatibility and performance in a wider range of applications. Stay tuned as we continue to explore and expand the possibilities of this remarkable microcontroller board. Your support and feedback are invaluable in shaping the future of our projects!"
arduino automation,"Next, in this series I am going to useHC05 or HC06Bluetooth module with the Arduino Pro Micro for controlling 110/220Vac Loads using my custom designed Android Smartphone application designed in Android studio. You can read my article on theAndroid application designingif you want to make a similar android application. You can also watch my video on how to design yourself anArduino pro microusingAltium Designer."
arduino automation,"Anyway, you can see I have connected a 4-channel relay module, HC05 Bluetooth module, and for the demonstration purposes I have connected 220Vac bulbs. I am using my designed5V and 3A power supplyto power up the Arduino Pro Micro. Everything looks good and now let’s power up the project."
arduino automation,"When the 110/220Vac supply is connected never touch the relay contacts as it can be dangerous.  So, as far as possible, wear protective gloves and perform such high voltage experiments in the presence of a companion or someone having basic knowledge of the electrical systems."
arduino automation,"Now, all you need is to take out your cell phone, pair your smartphone’s Bluetooth with the HC05 Bluetooth module."
arduino automation,"Then open the Android application, search for the paired device. Click connect and start controlling anything you want. You can use any android application just send the commands that I have used in the programming."
arduino automation,"As expected, Arduino Pro Micro also works exceptionally well with the Bluetooth. By adding the 5V and 3A power supply, Arduino Pro Micro, Bluetooth module, and 4 relays on a single PCB an amazing end-user product can be designed."
arduino automation,"Now, let’s go ahead and take a look at the connections."
arduino automation,Amazon Links:
arduino automation,HC05 Bluetooth
arduino automation,HC06 Bluetooth module
arduino automation,Arduino Pro Micro
arduino automation,4 Channels relay module
arduino automation,Arduino Nano USB C type (Recommended)
arduino automation,*Please Note: These are affiliate links. I may make a commission if you buy the components through these links. I would appreciate your support in this way!
arduino automation,HC05 or HC06 Bluetooth Module:
arduino automation,"The HC-05 and HC-06 are two common Bluetooth modules used in various electronic projects for wireless communication. They both have similar form factors and capabilities, but there are some differences between them that you should consider when choosing one for your project. Here’s a comparison:"
arduino automation,Bluetooth Versions:
arduino automation,"HC-05: The HC-05 module is based on Bluetooth 2.0+EDR (Enhanced Data Rate), which provides faster data transfer rates compared to the older Bluetooth 1.0 standard."
arduino automation,"HC-06: The HC-06 module is also based on Bluetooth 2.0+EDR, so it has similar Bluetooth capabilities as the HC-05."
arduino automation,Operating Modes:
arduino automation,HC-05: The HC-05 can operate in both Master and Slave modes. This means it can initiate connections with other Bluetooth devices (Master) or accept incoming connections (Slave).
arduino automation,"HC-06: The HC-06 is primarily designed for Slave mode, which means it can only accept incoming connections from other Bluetooth devices. It cannot be used as a Master to initiate connections."
arduino automation,Configuration:
arduino automation,"HC-05: The HC-05 is often considered more versatile because it can be configured to operate in both Master and Slave modes using AT commands. This makes it more suitable for various applications, including establishing point-to-point or point-to-multipoint connections."
arduino automation,"HC-06: The HC-06 is typically set to Slave mode by default and cannot be easily reconfigured to act as a Master. This makes it more suitable for applications where you only need a simple wireless link, like connecting a microcontroller to a smartphone."
arduino automation,Pairing:
arduino automation,"HC-05: The HC-05 can be paired with other Bluetooth devices, allowing secure communication with encryption. This is useful for applications that require data privacy and security."
arduino automation,"HC-06: The HC-06 can also be paired, but it may not support advanced security features to the same extent as the HC-05."
arduino automation,Price:
arduino automation,"HC-06 modules are often cheaper than HC-05 modules, which can be a factor to consider if you are working on a budget."
arduino automation,Use Cases:
