mot_clé,nom_du_fichier,url,contenu
arduino,BUILD.txt,https://raw.githubusercontent.com/g4klx/MMDVM/master/BUILD.txt,"In order to build MMDVM, you need to tell the Arduino GUI to link with the
CMSIS DSP library, which is doesn't do by default.

My development is on Windows and so I can vouch for the following instructions.

For Arduino 1.6.3 with SAM 1.6.4
--------------------------------

1. Go to the where the platform.txt file is located. On my Windows machine it's
in:

C:\Users\Jonathan\AppData\Roaming\Arduino15\packages\arduino\hardware\sam\1.6.4

On Mac OS X it's located in:

/Applications/Arduino.app/Con"
arduino,vru.txt,https://raw.githubusercontent.com/n64dev/n64dev.github.io/master/vru.txt,"I have some preliminary information on the VRU that shipped with Hey You,
Pikachu!  I have hit a stumbling block as I don't have a way to sniff the
wire and Mess does not currently emulate Hey You, Pikachu! correctly so I
can't trade back and forth comparing query captures in Mess to real
hardware responses on target.  However, from the small amount that runs in
Mess, I was able to figure out some very rudimentary things and can
reliably detect a VRU plugged in using the detect accessory command"
arduino,TODO.txt,https://raw.githubusercontent.com/ZakKemble/NWatch/master/TODO.txt,"global.c system.c pwrmgr.c - fix up this code! lots of little (but rare) issues with interrupts happening just before going to power down sleep
draw.c - also fix up this, cleanup that struct image_s stuff and maybe convert draw_bitmap_do() to ASM to see if its any faster?
millis.c/millis_isr.s - use flags that are processed in the ISR instead? also reduce millis resolution to 4ms? nothing in the code really needs 1ms res
bool/BOOL


Make a better readme
Arduino stuff

Alarm snooze
Options for al"
arduino,README.TXT,https://raw.githubusercontent.com/Adequis/DancingLEDs-Controller-Firmware-Public/master/README.TXT,"The ble_OctoWS2811.ino file requires the nrf8001_arm_support_new, TimerThree, Time, TimeAlarms, OctoWS2811 and SPI libraries to be installed.

nrf8001_arm_support_new has been updated to support Teensy SPI.

The TimerThree and SPI libraries may have been installed as part of the Arduino or Teensyduino installation, so make sure to replace them.  In Windows, libraries located under Program Files/Arduino/Libraries take precedence over libraries under My Documents/Arduino/Libraries.

Development oc"
arduino,todo.txt,https://raw.githubusercontent.com/chipKIT32/chipKIT32-MAX/master/todo.txt,"0150 mpide
  
Fix Linux make.sh, etc. scripts
Test on Linux.

AVR

Ethernet library:
 - integrate DHCP support
 - client.connect() returns 0 when connection is successful?  http://www.arduino.cc/cgi-bin/yabb2/YaBB.pl?num=1238295170
 - call Server.begin() from Ethernet.begin() instead of in user's sketch?
 - add method for receiving notification of new client connections to a server
 - add method for receiving notification of data written to a client
 - add method for receiving notification of cl"
arduino,icns.txt,https://raw.githubusercontent.com/elrumo/macOS_Big_Sur_icons_replacements/master/Other/scripts/icns.txt,"0_AD,
1.1.1.1,
1Blocker,
1Blocker_Alt,
1Password,
1Password_Alt,
1Password_Dark,
1Password_Light,
4K_Video_Downloader,
189_Cloud,
5217,
Ableton,
Ableton_LIVE,
Accessibility_Inspector,
ACDSee_Photo_Studio_6,
Acorn,
Activity_Monitor_Alt,
AdBlock,
AdBlock_Alt,
Adblock_Plus,
AdGuard,
AdGuard_Alt,
Adobe_Acrobat,
Adobe_Acrobat_Pro,
Adobe_After_Effects,
Adobe_After_Effects_Alt,
Adobe_Animate,
Adobe_Animate_Alt,
Adobe_Audition,
Adobe_Audition_Alt,
Adobe_Bridge,
Adobe_Bridge_Alt,
Adobe_CC,
Adobe_Characte"
arduino,bom.txt,https://raw.githubusercontent.com/ole00/afterburner/master/bom.txt,"BOM for Afterburner PCB 3.2b
============================
* (R1 - 5x) Resistor 4k7 (TH or SMT 0805) 0.25W, 5% or better tolerance  - 5x
* (R8, R4) Resistor 10k (TH or SMT 0805) 1% or better tolerance - 2x
* (R5, R18) Resistor 100k (TH or SMT 0805) 1% or better tolerance - 2x
* (R6) Resistor 20k (TH or SMT 0805) 1% or better tolerance - 1x
* (R7, R3, R2) Resistor 3k3 (TH or SMT 0805) 1% or better tolerance - 3x
* (R9) Cermet trimmer (TH Suntan TSR-3362P-202R 2k) - 1x

* (C1, C5) Capacitor electro"
arduino,README.txt,https://raw.githubusercontent.com/dEskoG/rDUINOScope/v2.3.1/README.txt,"#rDUINOScope

THE WORLD'S FIRST STAND ALONE ARDUINO BASED TELESCOPE CONTROL GOTO (handheld controller). 

rDUINOScope is an Open Source, Arduino Due based Telescope Control System (GOTO). Drafted as stand alone system, rDUINOScope does not need PC, Tablet or Cell Phone, nor Internet connection in order to operate and deliver stunning views! It does however supports Bluetooth and LX200 protocol to connect and be controlled by smart devices!


rDUINOScope uses database with THE BEST ~250 st"
arduino,poem.txt,https://raw.githubusercontent.com/CodingTrain/Rainbow-Poem/master/poem.txt,"Poem by tutorial watchers

Ceiling to the Stars
Up in the sky, where the stars shine bright,
That’s where I will be;
Enjoying the thrills of outer space,
And all there is to see.

To see the rainbow you need rain.
To get rain you need clouds.
(CuriousBlue)
github is good
p5js is great
using them together makes me concentrate

/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\
Hallo Welt auch in Deutschland gib es einen Regenbogen ;0)
and by knowing how to do a pull request
it will bring color to my coding s"
arduino,help.txt,https://raw.githubusercontent.com/BrerDawg/ti_lpc/master/help.txt,"Aug 2024 v1.08

ti_lpc
~~~~~~
Texas Instrument Speak & Spell synthesizer, renders rom sounds/vocal hex strings to PC sound hardware/sound files. 

The Speak & Spell developed in the late 1970s made use of a TMS5100 digital signal processor chip (DSP) for speech decoding. Briefly: the chip contained glottal pitch/chirp sound source(vowels), white noise source(consonants), an adjustable lattice filter and a D/A converter. Either of the 2 sound sources were fed in varying proportions to the a"
