mot_clé,post_et_reponses
arduino monitoring Zabbix,"hey everyone, quick question, im planning to build a simple weather monitoring station and could use some advice on selecting an arduino board or something similar. i want to measure temperature and humidity from just outside my back door. ive already got a basic setup and power source ready at home. the idea is to have the arduino connect to my home wifi so i can access the sensor readings remotely through a web interface or dashboard. what im looking for is an arduino or compatible board with reliable wifi capabilities something that can easily send data over the internet like mqtt, etc. bonus if it supports libraries or tools for quick web integration i dont know much but ill seen some services like blynk, thingspeak, or even just simple http servers any recommendations on which board to go with? ive looked at the esp8266 and esp32, but im not 100 sure if either is suitable for this kind of small, alwayson outdoor project. appreciate any suggestions! || telemetryharbor.com"
arduino monitoring Zabbix," || on the bottom right of this screen it states com10 not connected. do you have this board plugged in ? do you have the correct port selected ?? do you have the driver for this board loaded ?? || reduce the upload speed. || sketch uses 290032 bytes 27 of program storage space. maximum is 1044464 bytes. global variables use 30496 bytes 37 of dynamic memory, leaving 51424 bytes for local variables. maximum is 81920 bytes. esptool.py v2.6 2.6 esptool.py v2.6 serial port com10 connecting...................................... traceback most recent call last file cuserssayanappdatalocalarduino15packagesesp8266hardwareesp82662.5.2toolsupload.py, line 25, in module esptool.mainfakeargs file cuserssayanappdatalocalarduino15packagesesp8266hardwareesp82662.5.2toolsesptoolesptool.py, line 2653, in main esp.connectargs.before file cuserssayanappdatalocalarduino15packagesesp8266hardwareesp82662.5.2toolsesptoolesptool.py, line 468, in connect raise fatalerrorfailed to connect to s s self.chipname, lasterror esptool.fatalerror failed to connect to esp8266 timed out waiting for packet header this is the whole error, also i tried many methods like 1. ensure you have the correct usbtoserial drivers installedi have ch340 one and when i tried installing it said it already installed but didnt see under the ports in device manager, there were 2 hidden ports tho called arduino unocom 9 and usb serial portcom 10 with which i have connected the ide to 2. resetting the board 3. put esp in flash mode manually by holding the button and letting it go when i connect the usb cable to the laptop 4. temporarily disabling the firewall and anti virus all this were suggested by chatgpt and claude but still i see no progress"
arduino monitoring Zabbix,"hello everyone, this is my first time getting into iot. i am planning to build an air quality monitoring and prediction system using arduinos that act as sensor nodes that send the air quality data to a central esp32 using lora protocol. i want to make an interface that visualizes the current realtime air quality data and the predicted future air quality data. i am confused if i should make it a mobile app or web app. i am leaning towards making it a mobile app with flutter or react native, because i plan to send notifications to users. please enlighten me on what the better choice will be. || neither, i would just use grafana for visuals. || cool idea, why not lorawan though? || grafana or thingsboard or blynk"
arduino monitoring Zabbix,"hello everyone, so i have a lot of questions. im creating a poultry care and monitoring system. itll have automated feeding, automated water container filling, automated medicine dispensing, live streaming of the chicken coop, environment monitoring and environment control. im using arduino uno to control the entire thing. my question is how can i connect the arduino to a react native app and firebase? i already have an esp8266 wifi module and most tutorials i see online say to use the blynk and arduino cloud but these platforms dont have the full capability to completely support my project. || start small. draw all the elements of the system and think how they cooperate with each other, what they do and why. from what you described i understand that your system is large and distributed because all of the feedingwateringcontrolling devices are not sitting in one place. that means you have multiple for example arduino control boards. they need to send and receive information commands, telemetry, etc to control center. at the same time you want to provide user with access to that info. i think about system like that it is of course simplified arduino boards equipped with wifi modules are operating motors, sensors etc. they communicate with mqtt broker for example mosquitto that is deployed somewhere on a server in internet in cloud in your local network. there is a user interface app mobile or web or both. it is your frontend. it only shows something or receives user input. it uses api provided by backend app deployed on a server in internet or in cloud. backend app communicates with mqtt broker and sends publishreceives consume messages between your frontend app and whatever you have in your poultry. this is the most interesting part, and depending on your requirements backend could address mqtt broker directly or via another integration services. things like firebase, rabbitmq, kafka, caching, storing data, analytics and other stuff can be found here. || since you have what is called ot operational technology it probably relies on relays, plcs, esp32,etc... i would recommend the it site of your iot solution to start using mqtt. you should think about an unified architecture, but for that you start first with the mqtt infrastructure either use emqx tougher good support coreflux easier , reliable but less ui management , web sockets react can connect via web or tcp mosquito easy , a lot of documentation but single thread for the topic structure looking at what you describe you can have a directory of your poultry care. example poultryfeeding machine poultryfeeding machineenabled true poultryfeeding machineactivated false poultryfeeding machinenextcycle 21022024 173225 poultrymedice machine poultrymedice machineenabled true poultrymedice machineactivated false poultrymedice machinedose 15 poultrymedice machinenextcycle 21022024 173225 ..... the ideia is to make an uns that follows the process , then it is easy to make different apps or services . since you can put touch panels, other devices to react to the data of other devices . if the feeding is on in the mqtt you can put the medice machine enabled. i would definitely recommend seeing how the devices could integrate below to automate even more. i bet you will have new ideas, even ml is possible using this . just provide data into an historiandata silo using aggregation and you can make a machine learning algorithm to predict something. you just need to decide what you want fat or big and design the data in a different way. check what is mqtt and an mqtt broker || do you know how to develop this software? what are you trying to do on the app side? you can connect an app, my cofounder is on the software end and we just send data via a simple http push request in json. thats stored and processed in a database with a simple python back end, that pushes to an app created in a nocode builder. but all the parts are interchangeable, so do what you know."
arduino monitoring Zabbix,"i have a circuit board that is connecting a esp32c3wroom02n4 to bg95m3. looking into the schematic it looks like the bg95m3 is connected to pin 7 and 6 in esp32 but im not 100 sure. when i use these two pins in the arduino code i get no results in the serial monitor. im not sure what is wrong. i will appreciate if someone can help and suggest any solution! || based on the schematic youve provided, the receive and transmit pins look ok this is a standard configuration for uart communication, where the transmit pin of one device connects to the receive pin of the other, and viceversa. 1. did you check the baud rate defined in your code matches the baud rate of bg95? 2. do you have the correct board support package installed in the arduino ide for the esp32c3 and any required libraries for the bg95 3. check your serial monitors baud rate matches the baud rate youve defined in your arduino code 115200 in this case. 4. try a quick test by just sending an at command to the bg95 and checking if you receive an ok response. this is the most basic test for at commandbased modules."
arduino monitoring Zabbix,"i am doing an air quality monitoring system based on iot. now i need to improve that so that it can use solar energy to run. how can i add solar panels and battery to this system in an efficient way. article || i think your first step is to understand how much power your system requires to operate at different stages, such as while idle,when reading sensors, and transmitting data, etc. with that you can estimate how much energy will be required to run off the battery for few days as to accout for the weather at your location cloudy days, snow, dust, etc . with the energy consumption you can then estimate the size of the solar panel you will use. as you can imagine, the requirements will vary greatly based on your design an operating options. a system that reads and transmits data every 5 minutes and sleeps in between readings will consume far less energy than a system that reads every few seconds for example. i suggest you take a look at videos by andreas spiess on you tube. he has few videos discussing solar power and batteries. nicks blog is also an invaluable source of all things arduino, including battery and solar"
arduino monitoring Zabbix,"hi all, i am working on a project to make a name tag of sorts. the simple idea behind it is a wearable display with color and bluetooth capabilities. i want it to be less then 5 and an internal battery source that is rechargeable important detail i wasnt thinking of when i first started. i have searched for the last few days trying to find the perfect hardware. epaper and eink lack the color i need. i purchased a and an i have written code for my simple display in arduino ide and works fine through bluetooth. problem being the hardware i am using doesnt fit my needs as i lack the skillset to solder a battery, make it rechargeable and enclosed found 3d printed cases i might be able to take advantage of so that the chip is not visible. these esp32 chips seem to be great but i havent been able to find an all in one item. i have looked for things like minitablets that would make this work but no luck. is there any programable display under 5 that includes the features listed above folks have used before? money is not an issue within reason. || is there any programmable display under 5 this says 5 feet, are you sure thats what you meant ?? there are lots of versions available here are a few more suggestions there is nothing a beginner can think of that has not already been done many many times before. good luck || ive just made something with the adafruit clue and their charger. good news is that no soldering is required. bad news is that the clue display is much smaller than you want. || we are currently testing 5 inch display based on esp32s3, its a hmi kind of a product not battery powered. we can build a customized product for you with battery. you can check out our current esp32 based product range on"
arduino monitoring Zabbix,"im developing a small controller for ag use that id like to have a remote app for monitoring and checking the device. the device will have some microcontroller with cellular service in it, right now im pro typing with an ardunio mkr, but im struggling the fill some of the gaps getting an app for remote control. ive prototyped this out using the arduino cloud, which works pretty well, but isnt suited for selling to others. what services should i look at to help with developing and hosting an app ideally just a web app that works well on phones, not necessarily androidiphone apps. ive looked at services like mendix and heroku, but i think im missing pieces yet. is there anything out that that makes developing and connecting simple like arduino cloud, but more aimed at resale to end users? || ive tried things board. i liked it, but never did anything heavy with it. || popular spaas providers like aws and azure have all the building blocks to build backends for such a service. probably the simplest design would involved mqtt transport between devices and backend, plus an api on top for the web front endsphone apps to interface with. || i am an aws iot architect with dozens of projects like this under my belt. send me a dm if youd like to have an informal knowledge exchange regarding your project and my expertise."
arduino monitoring Zabbix,"hi there! ive recently started, with a friend of mine, an air quality monitoring project. i wanted to use a selfhosted grafana instance to get the data from the esps to make a dashboard, with realtime updates, hopefully. ive now successfully wrote some arduino code to get data from the sensor, get the raw sensor data and post it as a json to a server, which then saves it. example of the json sent timestamp70874,deviceid1,temperature19.81573677,pressure1015.01001,altitude 14.72637558,humidity44.55621338,gas57.58499908,dewpoint7.387362906 i will soon implement the proprietary bosch bsec magic to also get an iaq number out of that data. im using a freetier vm from oracle cloud to host grafana and this very basic, proofofconcept python post server. now to the tricky part how do i get that data and make it into a dashboard? ive looked into prometheus and got very confused very fast, so itd be great if someone could point me to the right direction. thanks in advance! || i use a tig stack for that telegraf, influxdb, grafana running on a linux vm with mqtt using mosquitto as a broker as the data transport method. telegraf subscribes to mqtt data and passes the data on to influxdb. then you can use the influxdb database in grafana to display data. || iot platforms are commodity. most offer a freetier. the commercial ones that we can recommend and have experience with losant, ubidots, tagoio. it would take on the order of an hour to do what you want. || i use thingsboard as mqtt broker and it can display metrics 10usmo and it can send data to grafana. and a lot moar"
arduino monitoring Zabbix,"in this project, i have created an iot solution where we accurately measure co2 samples and temperature and humidity samples. temperature, co2, humidity, and light intensity are all important environmental factors that can affect the growth and productivity of plants on an indoor farm. by monitoring and controlling these factors, farmers can create an optimal growing environment that maximizes crop yields and quality. so in my attempt to regulate this problem, i have come up with a co2, temp and humidity monitoring solution. it also helps me to remotely steer my lights to complete the optimal photoperiod of my plants. for the cloud backend and to visualize farm data, i am using bytebeam. bytebeam provides a onestop solution for all my iot needs and helps me monitor and manage devices, send overtheair updates, and visualise device data securely. bytebeam has also recently launched its sdk for arduino. the sdk was very much compatible with my esp32 hardware and it took me very less time to integrate it with my code. with the help of the following guides, i was able to get started with bytebeam. smart indoor farm applications using bytebeam, || "
