mot_clé,nom_du_fichier,url,contenu
arduino monitoring,changelog.txt,https://raw.githubusercontent.com/repetier/Repetier-Firmware/master/changelog.txt,"Version 1.0.4
  Added emergency parser.
  Improved handling of small segments, especially with linear advance.
  Linear advance gives better results now.
  Added host rescue system.
  Added files so it compiles with PlatformIO or Arduino IDE.
  
Version 1.0.0
  Keep alive/busy signal for host timeout improvement.
  M303 now keeps heaters/fans on.
  Show axis compensation values with 6 digits.
  Allow multiple MAX6675 sensors.
  Per axis homing flags.
  New handling for z probe = z min endstop.
 "
arduino monitoring,NEWS.txt,https://raw.githubusercontent.com/sensorium/Mozzi/master/extras/NEWS.txt,"Mozzi sound synthesis library for Arduino

NEWS
get the latest version from https://sensorium.github.io/Mozzi/

release: v2.0.1
- Fix compilation with configuration option MOZZI_AUDIO_INPUT
- Fix compilation with ATMEGA328PB CPUs
- Fix some erroneous compilation warnings

release: v2.0.0
- This release is *not* 100% source compatible to earlier versions of Mozzi. Most sketches will continue to compile,
  but with warnings. Some will need adjustments to keep working. See https://sensorium.github."
arduino monitoring,Tutorial.txt,https://raw.githubusercontent.com/menloparkinnovation/openpux/master/Arduino/Tutorial.txt,"MenloFramework can be introduced by examining and working with
the follow projects. Each project is complete, and may be used
to build an application scenario that matches the requirements
of what features it supports.

                 *** MenloBlink ***

                Classic ""Blink"" example

This application blinks an LED at a built in interval.

The MenloFramework version of the classic Blink example introduces
initializing the core framework and using its MenloTimer class to
timer and eve"
arduino monitoring,OTHERLISTS.txt,https://raw.githubusercontent.com/laxa/HackingTools/master/OTHERLISTS.txt,"Raw list from pastebin to not loose it:

0trace	1.5	A hop enumeration tool	http://jon.oberheide.org/0trace/
3proxy	0.7.1.1	Tiny free proxy server.	http://3proxy.ru/
3proxy-win32	0.7.1.1	Tiny free proxy server.	http://3proxy.ru/
42zip	42	Recursive Zip archive bomb.	http://blog.fefe.de/?ts=b6cea88d
acccheck	0.2.1	A password dictionary attack tool that targets windows authentication via the SMB protocol.	http://labs.portcullis.co.uk/tools/acccheck/
ace	1.10	Automated Corporate Enumerator. A simple "
arduino monitoring,ref_arduino.txt,https://raw.githubusercontent.com/18322025Andrew/NIRWANA/main/ref_arduino.txt,https://how2electronics.com/max30102-arduino-heart-rate-blood-oxygen-monitoring/
arduino monitoring,infos.txt,https://raw.githubusercontent.com/mqu/viessmann-mqtt/master/infos.txt,"links :

metrics visualisation tools
time series visualisation monitoring tools

- http://pdacontrolen.com/esp8266-grafana-influxdb-node-red-arduino-mqtt/
- http://air.imag.fr/index.php/Developing_IoT_Mashups_with_Docker,_MQTT,_Node-RED,_InfluxDB,_Grafana

- http://docs.influxdata.com/ : chronograph, telegraph, influx-db
- https://www.youtube.com/watch?v=WxUTYzxIDns : raspberryPI + node-red + MQTT

rasp + node-red :
- http://www.projetsdiy.fr/node-red-decouverte-sur-raspberry-pi-3-ou-2/#.WLE3W1d"
arduino monitoring,Arduino Code.txt,https://raw.githubusercontent.com/khamiskhuzaiphamuhammad/ArduinoHealthMonitor/main/ArduinoHealthMonitor-main/Arduino Code.txt,"#include  
#define RX 9
#define TX 10
const int rs = 12, en = 11, d4 = 5, d5 = 4, d6 = 3, d7 = 2;
LiquidCrystal lcd(rs, en, d4, d5, d6, d7);
#include  
float pulse = 0;
float temp = 0;
SoftwareSerial ser(RX,TX);
String apiKey = ""L4GTFACOEZO7O4VS"";
 
// Variables
int pulsePin = A0; // Pulse Sensor purple wire connected to analog pin 0
int blinkPin = 7 ; // pin to blink led at each beat
int fadePin = 13; // pin to do fancy classy fading blink at each beat
int fadeRate = 0; // used to fade LED on w"
arduino monitoring,README.txt,https://raw.githubusercontent.com/FurTrader/Overkill-Solar-BMS-Arduino-Library/main/README.txt,"Overkill Solar BMS Monitor Library
==================================

Introduction
------------

This library communicates with an Overkill Solar BMS (Battery Monitoring
System), which can be purchased from https://overkillsolar.com/

If you'd like to purchase an Overkill Solar battery monitoring system, use this
link:

- https://overkillsolar.com/?myboi=187467882

Please note that Overkill Solar supports the open-source community, and by
clicking on the link above, you will be supporting the d"
arduino monitoring,readme.txt,https://raw.githubusercontent.com/techpaul/PS2KeyRaw/master/extra/readme.txt,"PS2KeyRaw additional information

Library to handle the two wire communications from a PS2 keyboard. See image
in extras\Images called NUMLock-77.png for the one byte sequence on the two 
wires for the one byte code from the Numlock key.

Library performs raw get of characters sent from keyboard, discards
characters with parity errors.

Example included of SimpleTest.ino allows monitoring keycodes in hex on serial
To connect to your Arduino change following lines to match your wiring."
arduino monitoring,changelog.txt,https://raw.githubusercontent.com/makerbot/ReplicatorG/master/changelog.txt,"0040 ReplicatorG
* Replicator 2 profile now more robust
* support for selecting between s3g, x3g file formats (future bots)
* minor profile updates
* onboard preferences bug fix
* warning when printing with accelerated speeds to ensure bot has acceleration turned on
* added support for Sailfish firmware

0039-Beta ReplicatorG
* Added Replicator 2 Machine profile
* Added Profiles for Thing-o-matic with Skeinforge-50 and volumetric printing
* Added support for accelerated Thing-o-matic firmware.  "
arduino monitoring,keywords.txt,https://raw.githubusercontent.com/psrobotics/quadruped_bai_tiny/main/software/simplefoc_lib_mod/Arduino-FOC/keywords.txt,"ArduinoFOC	KEYWORD1
SimpleFOC	KEYWORD1
BLDCMotor	KEYWORD1
FOCMotor	KEYWORD1
StepperMotor	KEYWORD1
Encoder	KEYWORD1
HallSensors	KEYWORD1
MagneticSensorSPI	KEYWORD1
MagneticSensorI2C	KEYWORD1
MagneticSensorAnalog	KEYWORD1
BLDCDriver3PWM	KEYWORD1    
BLDCDriver6PWM	KEYWORD1    
BLDCDriver	KEYWORD1    
StepperDriver4PWM	KEYWORD1    
StepperDriver2PWM	KEYWORD1    
StepperDriver	KEYWORD1   
PIDController	KEYWORD1    
LowPassFilter	KEYWORD1    

initFOC	KEYWORD2
loopFOC	KEYWORD2
disable	KEYWORD2

_dela"
arduino monitoring,list.txt,https://raw.githubusercontent.com/NoThrowForwardIt/awesome-pentest-tools/master/list.txt,"0trace	1.5	A hop enumeration tool	http://jon.oberheide.org/0trace/
3proxy	0.7.1.1	Tiny free proxy server.	http://3proxy.ru/
3proxy-win32	0.7.1.1	Tiny free proxy server.	http://3proxy.ru/
42zip	42	Recursive Zip archive bomb.	http://blog.fefe.de/?ts=b6cea88d
acccheck	0.2.1	A password dictionary attack tool that targets windows authentication via the SMB protocol.	http://labs.portcullis.co.uk/tools/acccheck/
ace	1.10	Automated Corporate Enumerator. A simple yet powerful VoIP Corporate Directory enu"
arduino monitoring,c100.txt,https://raw.githubusercontent.com/IntelLabs/control-flag/master/github/c100.txt,"https://github.com/git/git
https://github.com/beanstalkd/beanstalkd
https://github.com/sqlcipher/sqlcipher
https://github.com/rubinius/rubinius
https://github.com/toland/qlmarkdown
https://github.com/IoLanguage/io
https://github.com/lloyd/yajl
https://github.com/darkk/redsocks
https://github.com/PromyLOPh/pianobar
https://github.com/codahale/bcrypt-ruby
https://github.com/taf2/curb
https://github.com/jwiegley/git-scripts
https://github.com/rhomobile/rhodes
https://github.com/FreeRADIUS/freeradiu"
arduino monitoring,notes.txt,https://raw.githubusercontent.com/OpenElectronicsLab/OpenHardwareHolterMonitor/master/notes.txt,"Before we go to print again:
* eyeball review the zones and layers
  * also of the gerbers
* testability
  * what needs to be pulled out as test pads
  * non-tented vias rather than pads?
  * or run all the test to the edge of a board and have a connector?
* JTAG - learn about it?
* KiCAD
   * CI/CD design rule checks? - is it commanline scriptable
   * build KiCAD from source!
   * module community?
   * footprint default (e.g.: 0603 hand-solder), preference file?
   * smarter BoM creation?
   "
arduino monitoring,IBM_Project.txt,https://raw.githubusercontent.com/pappukumar35/Environmental_Monitoring/main/IBM_Project.txt,"#include  

/*
####################################################
# EnviroMonitor.ino
# Part of EnviroMonitor project
# https://github.com/EnviroMonitor
# OpenSource Air Quality Monitoring Solution
# Copyright © 2016 by EnviroMonitor
####################################################
*/

#include  
#include  
#include  
#include  

#include  
#include  
#include ""Config.h""
#include ""SmoglyDHT.h""
#include ""PMS3003.h""

//set debug mode, use only in testing
#define DEBUG"
arduino monitoring,Links.txt,https://raw.githubusercontent.com/CaseAnon/Dump/master/Links.txt,"/\                                                      
    /  \   _ __   ___  _ __  _   _ _ __ ___   ___  _   _ ___ 
   / /\ \ | '_ \ / _ \| '_ \| | | | '_ ` _ \ / _ \| | | / __|
  / ____ \| | | | (_) | | | | |_| | | | | | | (_) | |_| \__ \
 /_/    \_\_| |_|\___/|_| |_|\__, |_| |_| |_|\___/ \__,_|___/
                              __/ |                          
                             |___/                           

Courses pirated & dumped by Case, S1rlancelot & dave + some ra"
arduino monitoring,ReadMe.txt,https://raw.githubusercontent.com/hafizuddinSol/AMSA-G02_40/main/ReadMe.txt,"Aquarium Management System by Arduino

Aquarium Management System by Arduino is a made to ease the arduos task of monitoring aquarium while you are away from home, hassle free with specified record of water temperature and water level.

For any inquiries, contact:

[ Lead Developer ]
Muhammad Hafizuddin Bin Nordin
+60 10-5531403

[ Backend Developer ]
Najmi Hakim Bin Saharin Mizam
+60 17-2339579

[ Frontend Developer ]
Muhammad Afiq Erinoor Bin Enche Guri
+60 13-8570271

[ Documentation Leader ]"
arduino monitoring,usage.rst.txt,https://raw.githubusercontent.com/ErnestoAerzen/AERtronic-Lite-Documentation/main/build/html/_sources/usage.rst.txt,"Usage
=====

.. _installation:

Installation
------------

To set up the AERtronic Lite system, follow the steps below:

1. **Hardware Assembly**:
   - Gather all the necessary components, including the ESP32 MCU, Nextion display, and required electronic components.
   - Assemble the hardware components according to the provided schematic or circuit diagram using Proteus software for reference.

2. **Upload Firmware**:
   - Connect the ESP32 MCU to your computer using a USB cable.
   - Open the "
