source,texte
arduino monitoring zabbix1,Arduíno e Zabbix (Monitoramento de Data Center)
arduino monitoring zabbix1,"Olá pessoal, estou trabalhando em um projeto onde o objetivo é monitorar a temperatura e umidade em um ambiente de TI utilizando o arduino para coleta de dados através de um sensor DHT11 e enviando esses dados através de do SNMP TRAP para o Zabbix."
arduino monitoring zabbix1,Material utilizado no ambiente de laboratório:Zabbix 2.2Arduino UNOShield Ethernet W5100Sensor de temperatura e umidade DHT11
arduino monitoring zabbix1,"Encontrei um código aqui mesmo neste site do arduino que se propôs a atender minha necessidade, segui as orientações e não funciona, no monitor serial escreve que está enviando dados ao servidor zabbix porém não visualizo nada nos gráficos.Obs no site relata versão anterior do zabbix 2.2"
arduino monitoring zabbix1,Segue código:
arduino monitoring zabbix1,//-----------------INCLUDES--------------------#include<SPI.h>#include<Ethernet.h>#include<Base64.h>
arduino monitoring zabbix1,"//--------------------------------------------byte mac[] = { 0xDE, 0xAA, 0xBB, 0xEF, 0xFE, 0x92 };"
arduino monitoring zabbix1,"IPAddress ip(192, 168, 1, 60); // ip address arduinoIPAddress gateway(192, 168, 1, 1);IPAddress subnet(255, 255, 255, 0);"
arduino monitoring zabbix1,"IPAddress zabbix(192,168,1,50); // you're zabbix server"
arduino monitoring zabbix1,"char host[] = ""zabbix-01""; // hostname zabbixchar base64host[200];"
arduino monitoring zabbix1,"char key1[] = ""counter""; // item zabbixchar base64key1[200];"
arduino monitoring zabbix1,char value1[10]; // value of counterchar base64value1[200];
arduino monitoring zabbix1,int counter;
arduino monitoring zabbix1,EthernetClient zabclient ;
arduino monitoring zabbix1,void setup(){
arduino monitoring zabbix1,"counter = 1 ; // init the counterEthernet.begin(mac, ip, gateway, subnet);Serial.begin(9600);}"
arduino monitoring zabbix1,void loop()
arduino monitoring zabbix1,{sendzabbix(); // send counter value to zabbixdelay(60000); // wait one minutecounter = counter + 1;
arduino monitoring zabbix1,}
arduino monitoring zabbix1,//--------------------------------------------
arduino monitoring zabbix1,"void sendzabbix(){if (zabclient.connect(zabbix,10051)){base64_encode(base64host , host , sizeof(host)-1);base64_encode(base64key1 , key1 , sizeof(key1)-1);"
arduino monitoring zabbix1,"itoa(counter,value1,10); // transform int to char"
arduino monitoring zabbix1,"base64_encode(base64value1 , value1 , sizeof(value1)-1);"
arduino monitoring zabbix1,"Serial.println(""Connected with zabbix , sending info"");"
arduino monitoring zabbix1,"zabclient.write(""\n"");zabclient.write("" "");zabclient.write(base64host);zabclient.write(""\n"");zabclient.write("" "");zabclient.print(base64key1);zabclient.write(""\n"");zabclient.write("" "");zabclient.write(base64value1);zabclient.write(""\n"");zabclient.write(""\n"");delay(1);zabclient.stop();}}"
arduino monitoring zabbix1,"// end of code , have fun"
arduino monitoring zabbix1,=================================================================
arduino monitoring zabbix1,A parte do código abaixo
arduino monitoring zabbix1,"zabclient.write(""\n"");.................."
arduino monitoring zabbix1,"está um pouco nebulosa, tenho duvidas em o que se está enviando ao Zabbix via rede. necessito que seja enviado apenas os valores de uma porta analógica A0 ou A1... no qual o sensor DHT11 está conectado.Não consigo visualizar nada nos gráficos do contador."
arduino monitoring zabbix1,Obs.: Para o código rodar tem que adicionar a biblioteca base64
arduino monitoring zabbix1,Obrigado
arduino monitoring zabbix1,Tenho a impressão que isso não é SNMP Trap. O SNMP Trap usa a porta UDP 162 e 160 para SNMP.
arduino monitoring zabbix1,"Este código parece que manda uma espécie de XML para o Zabbix, ele deve ter uma forma de receber estes dados sem ser via trap."
arduino monitoring zabbix1,"Pode fazer o contrário, colocar os valores em um MIB SNMP e o Zabbix consulta. Tem uma biblioteca SNMP pra Arduino:https://code.google.com/p/agentuino/"
arduino monitoring zabbix1,"Tenho interesse no resultado, vai postando aqui, por favor."
arduino monitoring zabbix1,"Olá Amigo Lago, agradeço a ajuda, vou pesquisar uma forma que o zabbix colete dados em uma MIB no arduíno que contenha o valor da porta no qual o sensor DHT11 está conectado."
arduino monitoring zabbix1,Eu possuo um livro de zabbix e estudei um pouco sobre o funcionamento do SNMP em questão.
arduino monitoring zabbix1,"No SNMP ""convencional"" o Arduino ou dispositivo de rede a ser monitorado trabalha como um servidor SNMP e o Zabbix como um cliente SNMP. Assim o zabbix envia uma consulta ao servidor SNMP ""arduino"" que reporta um resultado utilizando a porta 161 UDP."
arduino monitoring zabbix1,"Já o SNMP TRAP o dispositivo ou arduino a ser monitorado trabalha como um agente SNMP. O arduino ou dispositivo de rede fica responsável por encaminhar os dados ao zabbix que por sua vez apenas fica aguardando os dados, nesse ambiente é utilizado a porta 162 UDP."
arduino monitoring zabbix1,"Sua colocação sobre o método de envio de dados ao zabbix parece ser correta pois no código tem a seguinte linha ""if (zabclient.connect(zabbix,10051))"". A porta 10051 é a porta no qual o zabbix trabalha por padrão com seu agente que é instalado em servidores a serem monitorados."
