ID,Title,Question,Top Answers,Score,Tags,Date
79591153,"why can39t i saturate the tcp backlog with syn flood in docker, but it works fine on physical hardware?","problem im investigating syn flood attacks for a university project, but im facing an interesting challenge the same attack that successfully saturates a raspberry pi fails completely in a docker environment. despite extensive testing and configuration adjustments, i cannot replicate in docker the network saturation effects that are easily observable on physical hardware. test environment details setup 1 docker environment where attack fails host machine macbook air m2 arm64 docker network custom bridge network etunet target container ubuntu 22.04 with apache2 exposed on port 80 attacker container python 3.12 devcontainer with scapy, hping3, pytest installed both containers are in the same docker network all tests are launched from vs code via pytest in the attacker container setup 2 physical machine where attack succeeds target raspberry pi 5 16gb ram running apache2 directly on the os attacker same python devcontainer as above tests executed identically through the same code important the raspberry pi tests are also launched from the same devcontainer, just targeting a different ip what works on the raspberry pi when attacking the raspberry pi from my devcontainer the synrecv queue quickly fills up to 64 entries or 511 depending on configuration tcp retransmissions are visible in metrics http requests fail with connection refused or timeout errors attack is effective using both hping3 and custom python scripts using scapy server configuration tcpsyncookies0, tcpmaxsynbacklog64, somaxconn64 heres the successful test output running pytest with args ...testsynfloodcustomwith test syn flood python on 192.168.1.4080 http before attack status 200, time 0.02106 launching custom python flood 100000 packets http during attack error quot port80 max retries exceeded with url caused by newconnectionerrorlturllib3.connection. object at 0xffffb0063aa0gt failed to establish a new connection errno 111 connection refusedquot http request failed effect confirmed 1 passed in 11.57s important note after my initial tests, i restored the raspberry pi to default security parameters net.ipv4.tcpsyncookies 1 enabled net.ipv4.tcpmaxsynbacklog 1024 net.core.somaxconn 4096 even with these default, more secure settings, the attack continues to work effectively on the raspberry pi, successfully preventing http connections during the flood. what fails in docker the exact same attack code launched against the docker container synrecv queue never increases stays at 0 or 1 connections http requests always succeed without any slowdown setting tcpsyncookies0 and minimizing tcpmaxsynbacklog and somaxconn has no effect important detail while the attack doesnt impact the servers ability to accept connections, the kernel metrics do show that the syn packets are being received and processed. specifically, the embryonicrsts counter in procnetnetstat increments significantly over 6 million rsts observed during testing. this indicates that the docker container is receiving the syn packets and rejecting them, but somehow this process doesnt consume the resources needed to saturate the backlog queue. ive tried the following approaches hping3 s flood p 80 randsource lttargetipgt hping3 s p 80 i u10 faster lttargetipgt custom python scapy script sending syn packets with random source ipsports running from multiple threads with different attack variants setting docker to run with privileged and capaddnetadmin,netraw explicitly minimizing all related settings sysctl w net.ipv4.tcpmaxsynbacklog1, sysctl w net.ipv4.tcpsyncookies0, sysctl w net.core.somaxconn1 gt in all cases, despite millions of rst packets being generated, the backlog never saturates and http requests always succeed. hypotheses i suspect the docker networking stack, particularly on macos with docker desktop, processes syn packets differently than physical hardware dockers bridge network may be filtering or handling halfopen connections at a lower level the virtualization layer on macos m2 might protect against backlog saturation the kernel inside the container may have different behavior for connection handling network namespaces in docker might handle connection tracking differently docker might be rejecting the syn packets before they can consume tcp backlog resources questions is it fundamentally possible to saturate the tcp backlog synrecv queue in a docker container? are there specific docker network configurations needed for syn floods to work properly? could the host os macos arm be affecting the containers network behavior? are there any workarounds to force docker to more accurately simulate the behavior of a physical network interface? could there be specific protections in docker networking that prevent this type of attack from working as expected? ive spent several days investigating this and would appreciate insights from anyone with experience in docker networking internals or lowlevel tcp attacks in containerized environments.",,0,docker;apache;raspberry-pi;syn,2025-04-24
79590657,flutter app connect to raspberry pi 4 model b,"how can i connect a flutter app using flutterblueplus to a raspberry pi 4 model b? i need to send data from the flutter app to the raspberry pi over bluetooth low energy ble, and when the pi receives the data, it should display it. how can i set up the connection and sendreceive data between flutter and the pi?",,-1,flutter;raspberry-pi;bluetooth,2025-04-24
79587498,bmi088 sensor returning wrong sensor id,"basically i have the bmi088 connected like this to my rp2040 enter image description here enter image description here im using i2c1 as u can see and i cant get the sensor to work. my code is pretty big but this is the key. wire1 starts correctly or so it appears. but when i call bmi088accelbegin it return 1 suggesting it is by incorrect sensor id by the library int bmi088accelbegin if usespi setting cs pin to output pinmodecspin,output digitalwritecspin,high begin spi communication spigtbegin else starting the i2c bus i2cgtbegin setting the i2c clock i2cgtsetclocki2crate check device id if !iscorrectid return 1 soft reset softreset enable the accel if !setpowertrue return 2 enter active mode if !setmodetrue return 3 self test if !selftest return 4 soft reset softreset enable the accel if !setpowertrue return 5 enter active mode if !setmodetrue return 6 delay50 set default range if !setrangerange24g return 7 set default odr if !setodrodr1600hzbw280hz return 8 check config errors if isconfigerr return 9 check fatal errors if isfatalerr return 10 return 1 if i edit it and print the id it says it is 255. no idea why my sensor id is 255 any idea? try example code of the library, didnt work either also because im using i2c1 not 0 changed the code to fit i2c1 but still didnt work. i cant drop al the code here but it is like this xtaskcreateaffinityset core0task, quotcore0taskquot, core0stacksize, null, core0priority, 1 ltlt 0, run on core 0 null void core0taskvoid pvparameters ... bmi088sensor bmi088 new bmi088sensorwire1, bmiogyraddr, bmioacceladdr ... imumanager.addsensorbmi088 ... initsuccess amp imumanager.begin ... inside imusensor for auto sensor sensors serial.printquotinitializing imu sensor quot serial.printsensorindex serial.printquot quot serial.printsensorgtgetname serial.printlnquot...quot sensorstatus result sensorgtbegin if result sensorstatusok serial.printlnquotimu sensor initialization succeededquot anyinitialized true else serial.printquotimu sensor initialization failed with status quot serial.printlnstaticcastltintgtresult inside the bmio88 begin sensorstatus bmi088sensorbegin int initstatus accel.begin serial.printquotbmi088 accelerometer initialization status quot serial.printlninitstatus if initstatus ! 1 status sensorstatusinitializationerror accelinitialized false return status accelinitialized true int gyrostatus gyro.begin serial.printquotbmi088 gyroscope initialization status quot serial.printlngyrostatus if gyrostatus ! 1 we can still work with just the accelerometer gyroinitialized false else gyroinitialized true set default configurations accel.setodrbmi088accelodr400hzbw40hz accel.setrangebmi088accelrange3g accelrange 3.0f if gyroinitialized gyro.setodrbmi088gyroodr2000hzbw532hz gyro.setrangebmi088gyrorange500dps status accelinitialized ? sensorstatusok sensorstatusinitializationerror return status runned i2c scanner all the other sensors pop up not this one and the conections are as show above",,-1,c++;arduino;raspberry-pi;raspberry-pi-pico,2025-04-22
79586113,github requires password while ssh key is configured,"the platform is raspberry pi not sure what file was changed. few days ago when i tried to push to github it required password. im sure that ive added my public key to github and sshagent has this key. its not a problem of some specific repos. ssh t gitgithub.com requires password as well. following is the result of ssh tv gitgithub.com sry for the picture, stackoverflow treated it as spam","solved, the direct reason is that github is directed to localhost. further reason is that dns server is set to an known device on local network. fixed when setting dns server to 8.8.8.8",-2,linux;git;ssh;raspberry-pi,2025-04-22
79584004,feasibility of a local realtime bluetooth intercom system on raspberry pi 5 audio management and multiple connections encountered issues,"im working on a concept for a local, realtime bluetooth intercom system based on a raspberry pi 5. the main idea is to simultaneously connect multiple bluetooth headsets with builtin microphones to a raspberry pi 5 using only its integrated bluetooth to establish shared bidirectional audio communication. ive managed to establish connections and get audio flowing with three headsets simultaneously, but im encountering unexpected errors and unstable behavior. as a novice in this area, id like to ask for your expertise on the technical feasibility and potential solutions to the following issues. my current implementation involves these core libraries dbusbluez for bluetooth communications glibgobject for event loop management via threading pulseaudio via pulsectl for audio routing and management asyncio for asynchronous operations and concurrency despite using these, im facing the following challenges simultaneous management of multiple stable bidirectional bluetooth audio connections hsphfp profile or equivalent with the raspberry pi 5s integrated bluetooth. while ive successfully connected three headsets using bluez, the connections seem fragile and prone to unexpected disconnections. are there known limitations regarding the number of simultaneous bidirectional audio connections and the stability of these connections using the raspberry pi 5s integrated bluetooth when managed via bluez? recommendations for optimizing stability within this setup would be greatly appreciated. realtime audio routing and mixing for multiple bluetooth audio streams on raspberry pi 5 using pulseaudio via pulsectl. ive attempted to configure pulseaudio to route audio from each headset to a shared stream, but im running into problems such as unwanted audio feedback loops loopback. one headset hearing its own audio in its earpieces. difficulties in correctly mixing the incoming audio streams for simultaneous broadcasting to the other headsets using pulsectl. given my use of pulseaudio and pulsectl for audio management, are there specific patterns or configurations known to work well for this type of realtime bidirectional audio routing with multiple bluetooth sources? any insights into common pitfalls or best practices when using pulsectl in this context would be very helpful. im looking to assess the technical viability of such a system and understand how to resolve these stability and audio configuration problems within my current technological choices. any information, example configurations using these libraries, or troubleshooting tips would be greatly appreciated.",,0,raspberry-pi;bluetooth;bluez;pipewire,2025-04-21
79578917,gpio pin cleanup,"i have used python for a while now, however, i am new to using a raspberry pi and things such as gpio pins. i recently bought a freenove ultrasonic starter kit to help me learn. they have a tutorial included that i am following. in the program i keep getting this error message lgpio.error gpio busy i have tried loads of things. i know it could be a few things in a previous project i didnt cleanup the gpio pins properly or i exported the pins and didnt reverse it. i have tried numerous commands and script to cleanup the code but it wont work. i also rebooted the raspberry pi5 a few times. here is the code i used for my project from gpiozero import led, button import time led led17 define led pin according to bcm numbering button button18 define button pin according to bcm numbering def onbuttonpressed when button is pressed, this function will be executed led.toggle if led.islit printquotled turned on gtgtgtquot else printquotled turned off ltltltquot def loop button detect button.whenpressed onbuttonpressed while true time.sleep1 def destroy led.close button.close if name main program entrance printprogram is starting... try loop except keyboardinterrupt press ctrlc to end the program. destroy printquotending programquot","the error is in your quotloopquot function. first of all you are assigning your quotonbuttonpressedquot function to the class function quotwhenpressedquot of button, which you have assigned your button variable to. then you put quotsleep1quot in a loop which pauses the main thread you are trying to execute your program on. the correct approach to listening to your button input would be something like this def loop while true ifbutton.whenpressed onbuttonpressed time.sleep1 note because of missing context here i am assuming that quotbutton.whenpressedquot returns something like quottruequot or quotfalsequot.",0,python;raspberry-pi;gpio;gpiozero,2025-04-17
79577450,pynput on raspberry pi 4 is not receiving keystrokes,"i am trying to get pynput working on my raspberry pi 4. i tried using the example quotmonitoring keyboardquot script from pynput and i am getting exactly the same issue as in this post. i am using the same scripts that are used in the problem and solution sections. python script locked by thread. in both cases, the terminal does not recognize the key strokes e.g. when i press q, nothing happens. when i cancel the script, it says wait gotit waiter.acquiretrue,timeout what am i doing wrong and how can i further diagnose the issue? i dont really understand how to resolve this part of thread. specs raspberry pi4 running raspberry pi os with desktop pynput version 1.8.1",,0,multithreading;raspberry-pi;pynput,2025-04-16
79572586,raspberry pi how to use custom chip select with spidev without interfering with the default ce pins,"i currently have a board attached to my raspberrypi with 2 spi devices on it. i looked at the source code of the library of this board found at the two devices use spiadc.open0,0 and spidac.open0,1 i am adding a third spi device call it ina. i have used gpio 23 as the cs pin for that. but to use functions like xfer2 i need to use ina.open, otherwise i get errors. i attempted ina.open0,2 but got the error filenotfounderror errno 2 no such file or directory i have only seen examples with spidev.open0,0 and spidev0,1, so i dont know if there is a limit. i attempted to use ina.open0,0 and ina.nocs hoping this would not interfere with spiadc. but as expected it did. i have pulled gpio23, which i was using as the cs line for the ina, low manually and then attempted xfer2 with ina inacsline.setvalue0 rec ina.xfer2sendtx inacsline.setvalue1 i have verified with the oscilloscope that when using ina.xfer2 also the cs line of spiadc is pulled low as it is also at 0,0. hence my question, how do i open an spidev connection with a specified a custom specified pin as cs. or, if i pull the cs low for the third chip manually, how do i use ina.xfer2 which it seems requires ina.open, without it interfering with the other spi devices cs line.",,0,python;raspberry-pi;spi,2025-04-14
79570105,can i use dronekit to control pixhawk?,"i am using pixhawk 6c hardware with firmware version pixhawk13.2, a raspberry pi 3b as the onboard computer, and dronekit as the software. i am trying to control the flight using only the laser sensor and the px4 flow optical flow sensor. currently, i can use the remote controller to make the drone hover stably in the air. however, when controlling the aircraft with dronekit, i can switch the flight mode using vehicle.setmode, but after sending the setpositiontargetlocalned message to set the drones vx, vy, vz, i cannot control the drone to move forward, backward, left, or right. can i use dronekit to control pixhawk? do i have to use mavros?",,0,raspberry-pi;dronekit-python;px4,2025-04-12
79568637,reproducing the raspberry pi environment on a m4 silicon mac,"the short story is that i need to develop apps for the pi and i would like to have a similar environment on my mac to test configuration of the systemd services, setting up and running python the way i need it, etc.. i found out that the raspberry pi desktop distro 20220701raspiosbullseyei386 isnt of help because its x86. i managed to run the arm64 version on qemu, but through emulation not virtualisation, so its too slow to be usable. same with the i386 distribution above. ive seen apple virtualisation framework and rosetta mentioned a few times but i could not get it to boot using utm or parallels 20.2, no matter how i tried. i was thinking about starting with debian, and id like some pointers for what i need to install in order to reproduce a good testing environment. a starter is to install lxde for example. but is there a list?",,0,raspberry-pi;debian;virtual-machine;raspbian,2025-04-11
79566022,ioctluvciocctrlset failed 1 and devvideox becomes inaccessible until reboot synexens cs20 on raspberry pi 4b,"im using the synexens cs20 duallens tof lidar sensor with the synexenssdk v4.2.1.0, armv8 on a raspberry pi 4 model b running ubuntu 24.04 64bit. the device works fine once after a cold boot, but then fails on all subsequent runs with the following error ioctluvciocctrlset failed 1 open video device failed ive ensured that i properly stop and release the device using the sdks recommended calls sdk documentation stopstreaming closedevice uninitsdk but despite this, the device ends up in a lockedbusy state. only a full cold reboot makes it functional again. what ive tried unbinding and rebinding usb echo 11.1 sudo tee sysbususbdriversusbunbind echo 11.1 sudo tee sysbususbdriversusbbind reloading kernel modules sudo modprobe r uvcvideo ampamp sudo modprobe uvcvideo changing permissions of devvideox resetting usb port power using uhubctl sudo uhubctl l 11 a off sleep 2 sudo uhubctl l 11 a on confirmed libsonixcamera.so is correctly linked checked dmesg for uvcrelated errors e.g., status 71 after the first run v4l2ctl cannot open the device. the sdk reports finddevice errorcode0. device is still visible in lsusb and devvideox exists, but all access fails. goal i want to stream depth data reliably from the cs20 device in a realtime loop, with the ability to gracefully shut down and restart the application without having to reboot the entire system each time. questions is there a kernellevel way to forcefully release the video device? is it a driver bug in uvcvideo or something sdkspecific? any known workaround or patch for arm64based systems like raspberry pi? any help, insights, or alternative ideas would be greatly appreciated! specs device synexens cs20 dual board raspberry pi 4b 8gb os ubuntu 24.04 also tested on 22.04 sdk synexenssdk 4.2.1.0 armv8 kernel 5.15.x 64bit important links sdk link",i figured out the issue. the problem was less power supply so i added 12v power hub and connected my lidar to the hub. solved the issue!,2,linux;raspberry-pi;ubuntu-22.04;ioctl;lidar,2025-04-10
