ID,Title,Question,Top Answers,Score,Tags,Date
78701969,limit switch not responding after keyboard interrupt on raspberry pi gpio,"im working with a limit switch on my raspberry pi 4 running raspbian os. while testing, i interrupted my script with the keyboard, and since then, the gpio pin no longer responds to the limit switch. ive tried gpio pins 16, 20, and 21. they all worked initially and detected the limit switch correctly. however, after interrupting the script on each of these pins, the pi no longer reads the limit switch input. heres my code import rpi.gpio as gpio gpio.setmodegpio.bcm switchpin 16 debouncetimems 200 gpio.setupswitchpin, gpio.in, pullupdowngpio.pudup switchstate gpio.inputswitchpin prevswitchstate switchstate def buttoncallbackchannel global switchstate switchstate gpio.inputswitchpin gpio.addeventdetectswitchpin, gpio.both, callbackbuttoncallback, bouncetimedebouncetimems try while true if switchstate ! prevswitchstate if switchstate gpio.high printquotthe limit switch touched gt untouchedquot else printquotthe limit switch untouched gt touchedquot prevswitchstate switchstate if switchstate gpio.high printquotthe limit switch untouchedquot else printquotthe limit switch touchedquot except keyboardinterrupt gpio.cleanup ive run sudo apt update. using the rpilgpio package after switching from the old gpio package due to edge detection issues. the limit switch is connected from a gnd pin on the pi to the no part of an spdt 250v 5a standard micro switch with lever jaycar, with the gpio pin for data to com. the switch was working fine with this script for hours before the interrupt. ive tested with two separate limit switches and a brand new pi 4. what am i missing here? how can i restore the gpio pins functionality after an interrupt? thanks in advance!",,0,python;automation;raspberry-pi,2024-07-03
77030620,run dockerfile on raspberry pi after every push into a github repo,"im not sure what stack exchange this post would fit in so if this belongs somewhere else let me know. im trying to connect my raspberry pi to my repository on github. what i want to happen is that everytime i push something to the repository, a docker instance starts running on the rpi. i thought the way to go would be to setup a webhook on github actions and putting my rpis public ip as the target url. i have a port exposed on my router for the rpi. if it got a github request on the port then it would execute said docker instance. i tried using nginx and ngrok but it just wasnt working. do you guys have any insights?","on your raspberry pi, you must have something running that will serve as a gateway for github requests. to automate the container build and deployment, i advise using jenkins and the generic trigger plugin. in order to listen for remote repository changes, you must create a jenkins pipeline and enable the generic trigger plugin.",0,docker;automation;raspberry-pi;github-actions,2023-09-03
73519254,how to activate motors with python3,"i am thinking of a way to pack my bag for work in the morning, but im trying to automate it with python3, raspberry pi and motors, but i dont know how to program something to make them work. does anyone know how to do this? i think it might include circuitpython. thanks for your time, gomenburu",i figured out the answer. it is explained here. it uses a raspberry pi pico and micropython to activate the motors.,0,python;automation;raspberry-pi;robotics,2022-08-28
73456158,running python selenium script on raspberry pi auto start,"i have a big problem with running selenium script which opens chromium browser and shows some dashboards in tableau from auto start. i am using raspberry pi 4 with newest raspbian from their webpage. when performing script manually, everything works fine and as should. i tried tips from several posts for ex. so i tried various things with my cronos setups dealays on script run, setting up screen etc. still nothing helps. logger from cronos returns me error like this homepidocumentstest.py22 deprecationwarning executablepath has been deprecated, please pass in a service object driver webdriver.chrome traceback most recent call last file quothomepidocumentstest.pyquot, line 22, in ltmodulegt driver webdriver.chrome file quotusrlocallibpython3.9distpackagesseleniumwebdriverchromewebdriver.pyquot, line 69, in init super.initdesiredcapabilities.chromebrowsername, quotgoogquot, file quotusrlocallibpython3.9distpackagesseleniumwebdriverchromiumwebdriver.pyquot, line 92, in init super.init file quotusrlocallibpython3.9distpackagesseleniumwebdriverremotewebdriver.pyquot, line 270, in init self.startsessioncapabilities, browserprofile file quotusrlocallibpython3.9distpackagesseleniumwebdriverremotewebdriver.pyquot, line 363, in startsession response self.executecommand.newsession, parameters file quotusrlocallibpython3.9distpackagesseleniumwebdriverremotewebdriver.pyquot, line 428, in execute self.errorhandler.checkresponseresponse file quotusrlocallibpython3.9distpackagesseleniumwebdriverremoteerrorhandler.pyquot, line 243, in checkresponse raise exceptionclassmessage, screen, stacktrace selenium.common.exceptions.webdriverexception message unknown error chrome failed to start exited abnormally. unknown error devtoolsactiveport file doesnt exist the process started from chrome location usrbinchromiumbrowser is no longer running, so chromedriver is assuming that chrome has crashed. normally when working good it should stop on and starting to perform selenium tasks in newly opened chromium browser homepidocumentstest.py22 deprecationwarning executablepath has been deprecated, please pass in a service object driver webdriver.chrome right now after many tries my cronos file looks like reboot sleep 60 env i display0.0 python homepidocumentstest.py gt homepilogscronlog 2gtamp1 hope that anybody could help me, i am struggling with this problem from many hours and tried various and many solutions but nothhins seems working.","for selenium or any gui application on startup, i would recommend using the pis built in autostart system create the desktop file sudo nano etcxdgautostarttest.desktop enter the following details desktop entry nametest execpython homepidocumentstest.py terminaltrue xgnomeautostartdelay60 change the file permissions for good measure chmod 777 homepidocumentstest.py finally, reboot sudo reboot ref",0,python;selenium;automation;raspberry-pi,2022-08-23
72291516,"crontab not working, but works manually for python call","thats my first ask on stackoverflow, wow ! i have to build a program for a project about network, for my last studying year in france. the project itself is almost written in java, except for a function that require python, in order to take a screenshot in a web browser using selenium yes, i tried using selenium in java, unsuccessfully. whats more, this java program is called by a previous python project this project has to run on a raspberry pi, with a button to start the scan. and in order to start this raspberry pis management program in python, it has to be launched by a .sh file, called at launch by a crontab command. the problem is that, after debugging, i see that when the .sh is launched at the boot of the rpi, the call to the python function for screenshot isnt working, whereas it does without any problem when i launch the .sh manually. here is a draft of the final idea boot raspberry crontab .sh python program n1, raspberrys management if button java program checking network if capture needed python program n2, web browser screenshot then the step n6 is working if the .sh file is launched again, but manually, and isnt working at the 1st boot of rpi, when .sh is launch automatically it may be quite hard to understand, so do not hesitate if you have any question! thanks edit thanks for your replies in crontab, i wrote after a sudo crontab e reboot sh homepilauncher.sh gthomepilogscronlog 2gtamp1 in this laucnehr.sh, we go to the directory where are all programs, including the one for the management. everything work fine manually, but the call from java to the python script to screenshot a specific website. call from java, to the python program that works only manually public synchronized void protocole try string command quotpython3 homepidocumentsfinalscanmultithreadprogramsscreen.py quot protocole quot quot ip process process runtime.getruntime.execcommand process.waitfor catch ioexception e e.printstacktrace catch exception e e.printstacktrace python program to screenshot from selenium import webdriver import sys import os from time import sleep def main protocol sys.argv1 address sys.argv2 path quot..screenshotswebquot if not os.path.existspath os.makedirspath options webdriver.chromeoptions options.addargumentquotheadlessquot options.addargumentquotdisablegpuquot options.addargumentquotignoresslerrorsyesquot options.addargumentquotignorecertificateerrorsquot chrome webdriver.chromeoptions options chrome.getprotocol quotquot address name path quotquot address quotquot protocol quot.pngquot sleep10 chrome.savescreenshotname chrome.close if name quotmainquot main fix there was an error in the last python script, that wasnt showing up i dont know why ?. so after launching this script automatically from the .sh file, errors where showing up, it was a problem from the quotwebbrowserquot, so i added 2 options, that are options.addargumentquotnosandboxquot options.addargumentquotwindowssize1420,1080quot thanks yall",,1,python;java;automation;cron;raspberry-pi,2022-05-18
65888739,storing files locally and sending jobs to printer for speed,"im operating in a factory setting where speed is important. i store order information in the cloud. barcodes are printed by querying the database for information. operators use a tkinter app on a raspberry pi that runs a python script to query the cloud. currently printing out a barcode takes about 5 seconds to make that query and then use os.system to print out the barcode. is there a faster way to send jobs to the printer? ive been looking into storing files locally to speed this process up, does anyone have any of what to look into? network attached storage that downloads relevant files from the cloud nightly? any suggestions for running modern factory automation with python?","checkout subprocess.popen, which is a flexiblelite version of os.system",0,python;python-3.x;automation;raspberry-pi,2021-01-25
62515640,raspberry pi make a buzzer sound using c,"so im trying to make a mini quotsecurity systemquot to check if i left my door open. basically i have a raspberry pi with a sensor that check if the door is opened or not if i left it openet a buzzer should make a beep to tell me that i left it open. i saw the systemsounds.beep.play from the system.media library, but how do i put it in my doorisopen method? readonly gpiopin sensdoor gpiocontroller.getdefault.openpin6 pin door private task checkdoor while true ifsensdoor.read gpiopinvalue.high fagldoor true else fagldoor false task.delay1.wait1000 private async task doorisopen while true while fagldoor",you could try something like the below which has a 5 second delay between each check. readonly gpiopin sensdoor gpiocontroller.getdefault.openpin6 bool isdooropen gt sensdoor.read gpiopinvalue.high private async task soundbuzzerifdoorisopen whiletrue whileisdooropen sound buzzer! await task.delay5000,1,c#;visual-studio;automation;raspberry-pi;sensors,2020-06-22
59897311,ios appium on raspberrypi using quamotion,i tried setup appium ios on a raspberrypi 4 using the tutorial on . how do i retrieve the machineid which is needed to request a trial license?,i did run the playbook first with a dummy license. this installed already all components on the rpi. running usrsharexcuitrunnerxcuitrunner displayed the machineid. you can run the playbook once more to update the license file.,0,ios;automation;raspberry-pi;automated-tests;appium,2020-01-24
59588061,how can i automate python program on raspberry pi with cron?,"im building a basic twitter scraper with python that i want to run off of my rasppi 4b on an hourly basis. the script is written and works perfectly when called from the terminal using python scraper.py now, i want to automate it to run without my own physical prompt. i did chmod with the script, then opened the crontab, and using the editor added this line i understand that its for every minute, i just want to see it work usrbinpython homepidesktoptwitterscraperscraper.py however, nothing executes on its own. im not quite sure why this is because i specified the directories of both the python program and the interpreter. do i need to add anything else besides that line to the cron file? the python script does access other files located in the same directory, but i did not think that would matter much. do i need to restart my pi for it to take effect?",when it come to python is better to run the code in to the directory where it is located. and in such case the cron will be something like cd homepidesktoptwitterscraper usrbinpython scraper.py || you do not need anything more just do in this way python homepidesktoptwitterscraperscraper.py if it doesnt work you can check your system log. and see the errors for debugging.,1,python;twitter;automation;cron;raspberry-pi,2020-01-04
52883115,raspberry pi playing music from spotify automatically,"i am trying to figure out how to get a raspberry pi to play music from spotify when the user comes home. i have some python code that will let the raspberry pi know the user is home, now i just need to the music to play. i am wanting to know if this can be possible in anyway?","there are two ways you could do it as far as i know, but both have some inconveniences. there are two python libraries called libspotify an official spotify library and pyspotify which is a wrapper for the first one. however, libspotify is not maintained anymore, a problem which also affects pyspotify. im not sure whether they still work but if they do, using an unmaintained library is not really a good idea. the only officially supported alternative you could use is the web playback sdk. however, the sdk is a clientside javascript library which means that you would need to use to a different tecnology, at least for that part of your project. you could make a web app and run it locally on your pi or even package it as an electron app which your python program sends a signal to when it should play the logic of what to play would probably be better in the web app. anyway, if you end up using that approach, it would probably be better to move all the logic to the web app, including knowing when someone has arrived.",1,python;automation;raspberry-pi;spotify,2018-10-18
