ID,Title,Question,Top Answers,Score,Tags,Date
69814203,secure video streaming limit by ip or device,"as part of a student project, i am currently setting up device to device video streaming. i am using two raspberry pi 3 with the camera modules and am adding face tracking via opencv all in python3. i want to stream live video captured by raspberry pi x to raspberry pi y and vice versa. the raspberries will not be in the same buildingnetwork. what i dont want, is anyone being able to stream the video on a different device. as i am new to the whole streaming and security idea, i was wondering if there is some way of adding security to live streams by limiting access by the device. say, the video of raspberry pi x can only be viewed by raspberry pi y. is this possible? if not, whats the next most secure option limiting by ip maybe. i am also not fixed to using raspberries for this project, if there is a different solution id love to hear about it. thanks for any ideas.","youre not the first person to do something like this. a raspberry pi is an excellent choice for the project and you should be able to find plenty of guides online to doing something like this. youll want to ensure you enable a strong username and password within whatever library you use.if you want to protect the live stream with a username and password, you should enable this streamauthmethod 2 streamauthentication someusernamesomepassword",0,opencv;security;video;raspberry-pi;streaming,2021-11-02
69203511,is secure if i always send the same message?,"i set up a raspberry pi to communicate with balena.io. in the balena dashboard, i activated the public url for my device. the raspberry pi is running nodejs and listens on port 80 for a post request. the raspberrys only job is to open a door. now, whenever i tell the raspberry pi to open the door, i put task quotopenquot in the body of the request. it is very important that nobody other than me can open the door via sending this request to the raspberry pi. my first idea to protect the door from being opened is to include a username and password field in the request like so task quotopenquot, username quotmoritzquot, password quot1234quot however, some sources depict that this approach might not be ideal as the login credentials may be leaked. my question if someone would not know the username and password could this person not just take whatever was sent to the raspberry and just send it again? since i always send the same object task quotopenquot , this is how someone other than me could open the door, right? or am i missing something here? has protection in place to prevent something like this from happening? how can the raspberry pi make sure the request to open the door was sent from my server and not someone elses computer? i appreciate your help, thank you for your time.",,0,security;https;raspberry-pi;iot;balena,2021-09-16
67629023,openvas setup won39t connect to dl.greenbone.net,"im a beginner here, im using a raspberry pi4 running raspian os. im trying to run sudo openvassetup but it just fails to connect to dl.greenbone.net over and over again at least 20 times before finishing with errors. can anyone tell me why this is? ill paste code below 20210520 190056 try 3 connecting to dl.greenbone.net dl.greenbone.net2a011302000127d180... failed no route to host. connecting to dl.greenbone.net dl.greenbone.net89.146.224.5880... failed connection timed out. retrying. 20210520 190315 try 4 connecting to dl.greenbone.net dl.greenbone.net2a011302000127d180... failed no route to host. connecting to dl.greenbone.net dl.greenbone.net89.146.224.5880... failed connection timed out. retrying.",the server has been shut down more then a year ago. the greenbone openvas version you are using a very very outdated and cant be used anymore. maybe updating raspbian helps. otherwise you can try building it from source with,1,security;raspberry-pi;raspbian;penetration-testing;openvas,2021-05-21
67027092,recommended strategies for using github pats on rpi,"rpi.stackexchange found this question ot for their site and recommended here. im not convinced but will give it a go. the switch to personal access tokens on github is causing me some serious headaches when it comes to programming and development on the rpi. the issue is how to efficiently and securely provide the pat to a new rpi. on a fresh install, i first run git config global credential.helper store and then pull from an undisclosed source say, for example, a nas on my local network a copy of .gitcredentials that contains in plaintext my token. this method is reasonably efficient im only required to access the nas but is clearly not secure. its also not appropriate for a public setting for example, im fine doing this with my hobby projects at home on my local network, but less so in my research lab were students are working on their own rpis and need to perform similar tasks. are there recommended strategies for efficient pushpull github access that also make a reasonable attempt defined here as better than plaintext at securing the pat?","there are a couple of options you can use to grant access to a repository. youve mentioned personal access tokens, but if you only need access to one repository, youre probably better off using a deploy key with ssh. that would grant either readonly or readwrite access to a single repository, and avoids some of the risks to the rest of your repositories from that single machine being compromised. you could do this by having the raspberry pi generate a key, grabbing the public part over the network, and adding it as a deploy key using the api to which you will authenticate with a personal access token on your local machine. this would be secure only the raspberry pi would have the secret portion, and you wouldnt need to share any secrets over the network. if youre logging into the raspberry pi over ssh, then you could also just use your own ssh key and forward the agent with ssh a, and then you can push and pull without needing to actually copy any credentials. this is also secure. if your problem is how to secure access to a private repository when the device is open to public access, then there is no secure way to do that, as im sure you had guessed. its unclear to me what you were doing before, but if it was just that you were typing your password when prompted, then you could still do that by copying and pasting a pat from a password manager, but its probably just easier to use an ssh key in that case. || your problem is twofolded how not to store your key in plain text and how to transfer it safely to the other devices. there are several ways to encrypt a text file, e.g. with openssl. to transfer your key from one device to another, assuming you have access to an internet connection on your rpi, you can use a secure transfer program like magic wormhole. both solutions require a passage involving communicating the passwords, that can be made via another communication channel and should be made safely e.g., verbally communicating the openssl password.",0,git;security;github;raspberry-pi,2021-04-09
63937752,understanding permissions for wordpress,"i am currently trying to set up a wordpress site on my own personal raspberry pi server, which ill eventually put online. ive been doing my best to try and understand the security of all the wordpress files, but i am unsure if i have been getting it. should my user pi be given permission to addedit the wordpress files? the tutorial explicitly had me give all the permissions to the apache user, which i think i understand but i cannot change the actual permission numbers on any of the filesdirectories. i tried adding myself to the apache users group, but i still could not addedit files. i originally tried to add a php.ini file using the command line and sudo, is that the only way the quotpiquot user should be allowed to interact with it? this seems pretty cumbersome to me, and i cannot add anything more than simple text files to it, so i am unsure how i would add a theme this whole problem arose because a theme i want to add is above the upload size limit of 2mb, which i have been trying to chnage as well with no luck through php.ini or .htaccess. any overall explanation of permissions and what permissions i should be giving the quotpiquot user or how to do so would be greatly appreciated. also i chnaged the default password for pi and plan to change the username before making it live. thank you","wordpress is basically designed to run on a server where a shell user such as pi never changes files. everything about adding updating editing files is done by the wordpress code itself, when you the admin install plugins, upload media, edit theme stylesheets and the like. thats why the files are owned by apache. lots of wordpress instances run on shared servers, so security is enhanced by this convention. but you want your shell user to fiddle about with your files. the easiest way to do that is with the apache user. you can become that user with sudo su apache.",1,php;wordpress;security;raspberry-pi,2020-09-17
62162817,raspberry pi as a web server security,im currently making a small hobby project where i use a raspberry pi zero to control a set of rgb leds. ive got a basic python app so far that is built on flask that allows me to set up a web server so that the led colours can be set remotely. my main concern is that im selftaught as far as programming goes and i dont know squat about security. the plan is essentially to be sending any port 80 traffic to the raspberry pi on my home network and give friends my ip. i may eventually get a domain name to simplify things. should i have any security concerns when i set this up live fulltime? i dont know if its possible to access my private network via the raspberry pi or if im just being paranoid.,"you can try putting your raspberry pi on separate vlan and put your home devices on another vlan. please note you need a router which supports vlan and configure it in a way that the both vlans cant talk to each other also, try using for your webserver and dont run the webserver process as root user. if you want to go more crazy you can put a firewall. these are generic suggestions for hardening the security for any web app. || if your experimenting and learning... might be a great opportunity to try out something called wireguard, if you dont have the network equipment to support vlans. you and your friends can directly connect to the pi, add some appropriate iptables firewall, and you can restrict them just to that machine. if you want learn more about secure coding, there are tons of resources. maybe even get you and your friends to capture the pi .... and learn from each other! what ever you do , keeping hacking away, and keep having fun....",2,python;security;flask;raspberry-pi,2020-06-03
61724751,create a unique 802.11 authentication method,"please any help would be greatly appreciated. heres what i want to do i want to authenticate a station with an ap using my own authentication method i.e. not using wpa or wep. then further create unique association terms. but i do not know how to create an authentication method or what specific files in the device to manipulate. i would like to do this on two raspberry pi 3b one as an access point and the other as the station. also, if there is a way to simulate this on matlab or any other means. i am very interested in both. thanks in advance. its research and the clients will be designed to authenticate via the same method. as to what ive tried, i havent been able to find any sources that provide meaningful information on either how to create the files needed to develop an authentication method on both the clients and the ap, or how to manipulate the files for wpa in packages like hostapd and wpasupplicant. i am trying to prove security. the ap offers a set of new services, so the station sends a servicerequest frame to the ap. ap responds with a serviceresponse frame subset of services offered. station responds with an association request frame containing a certificate. ap validates the certificate with the database, under subset clause. also, i would like to set the subtype and type bits, so it doesnt interfere with bits already in use. its a fourstep handshake. i hope thats clearer.",,0,security;authentication;raspberry-pi;wifi,2020-05-11
60715774,secure way to access db on raspberry pi outside home network,"i have a postgres database installed on my raspberry pi that works fine locally within my home network. i would like to be able to access this from outside my home network. ive done some research and from what ive seen port forwarding on my router or using a service like localtunnel or ngrok seem like viable solutions. however, my question is if these open up any security risks on my home network? if not, then great i can move forward with setting this up i was leaning towards port forwarding on my router. but if there are concerns, what exactly are they and what steps can i take to have a secure setup?","if you expose your database to the world with a weak password for a database superuser, that will definitely lower your security in a substantial way. hackers routinely patrol for such weak settings and exploit them, mostly for cryptocurrency mining but also to add you to botnets. in those cases they dont care about your database itself, it is just a way in to get at your cpunetwork connection. they might also probe for valuable information appearing in your database, in which case they dont even need to be a superuser. if you always run the latest bugfix version and use a strong password like the output of pwgen 20 sy 1 and use ssl or if you correctly use some other method of authentication and encryption, then it will lower security by only a minimal amount. if you personally control every password, and ensure they are strong, and test that they are configured correctly to be required for log on e.g. intentionally enter it wrong once to make sure you get rejected, i wouldnt worry too much the port forwarding providing bad guys access to the machine. if you care about people being able to eavesdrop on the data being sent back and forth, then you also need ssl. encrypted tunnels of course are another solution which i am not addressing.",0,postgresql;security;network-programming;raspberry-pi,2020-03-17
60694810,raspberry pi home security system request for guidance,"i had a quick opinion question regarding a raspberry pipython based home security system im working on. my end goal is to have magnetic doorwindow sensors being monitored by a raspberry pi 4 server. if a window or door is opened while the system is armed it will play an alarm sound to the connected speakers. i would then have raspberry pi zero w powered keypad panels with lcd screens and a 12 digit keypad that would allow me to see whether the system is armed or disarmed and allow me to input the passcode to arm or disarm the system. the raspberry pi zero w panels would connect to the raspberry pi 4 server over the network. i already have a somewhat functional test system running in a single python script with everything connected to the raspberry pi 4 link below. however, im now at a point where i need to figure out how to tie in the raspberry pi zero w keypad panels i would like to integrate over the network. my question for you all is how would you go about implementing the network connectivity portion of this? should i use something like node.js with some kind of database? perhaps the socket module in python for something lowlevel? something else entirely? im up for any and all suggestions for how to go about this. please let me know if you have any questions. thanks in advance! poorly done diagram current working code","if this was me, as you have the power of a full fat pi 4, i would use a php web server on the server pi that the other nodes post to. this will give you the benefit of not having to deal with low level networking. you could also potentially add further devices or web services in the future with more integration opportunities. you would then need to interface python to the php server however this could be done with a simple text file or alike.",1,security;raspberry-pi;lcd;keypad;raspberry-pi4,2020-03-15
55971240,protection of firebase raspberry pi infrastructure,"im creating a system that will be on a public site and will use firebase raspberry pi android, there will be several machines and they will all share services. the problem is that the machine being in a public place and being using raspberry pi the code will not be encrypted and can be accessed by extracting the sd card. i do not care if they can see the code, i will try to centralize what i can in the cloud and seal in some way the raspberry, what worries me is that being the configuration files of firebase in the raspberry pi someone can access and use them to do something that should not, for example consult modify delete private data in the database of that machine or other. any ideas to protect these services andor the code that is in the raspberry pi and add more security to this infrastructure? regards.",,2,android;firebase;security;raspberry-pi;raspberry-pi3,2019-05-03
